code,short,pos,neg
300081,恒信移动,124.25,18.0
002492,恒基达鑫,142.0,17.0
002591,恒大高新,103.5,16.5
002104,恒宝股份,193.0,32.0
002219,恒康医疗,175.0,31.5
002132,恒星科技,80.5,9.0
300513,恒泰实达,212.0,32.0
300157,恒泰艾普,140.75,28.0
300374,恒通科技,141.75,13.0
002237,恒邦股份,143.5,24.0
300605,恒锋信息,251.5,19.5
300488,恒锋工具,130.75,26.5
300208,恒顺众昇,374.45,71.0
002262,恩华药业,167.375,23.2
002162,悦心健康,290.75,26.5
300460,惠伦晶体,65.5,19.75
002554,惠博普,357.0,33.5
002343,慈文传媒,203.0,17.25
300307,慈星股份,104.75,16.0
002628,成都路桥,43.5,5.0
002190,成飞集成,138.25,14.25
300357,我武生物,155.0,17.0
300314,戴维医疗,187.5,22.0
002652,扬子新材,83.375,14.0
300373,扬杰科技,243.0,12.0
002154,报喜鸟,154.0,18.25
300229,拓尔思,253.75,19.0
300607,拓斯达,197.6875,22.0
002218,拓日新能,223.725,30.45
002261,拓维信息,205.0,16.0
002139,拓邦股份,204.0,20.5
001979,招商蛇口,284.25,25.5
300158,振东制药,212.0,10.0
300101,振芯科技,204.85,28.0
300182,捷成股份,170.5,11.0
002609,捷顺科技,172.95,7.0
300315,掌趣科技,218.4125,36.625
300005,探路者,408.825,36.5
002451,摩恩电气,104.0,13.5
002656,摩登大道,196.0,19.0
300075,数字政通,24.5,5.0
300579,数字认证,155.0,18.0
300079,数码视讯,166.7,24.0
300089,文化长城,76.75,10.0
002775,文科园林,197.5,39.2
300382,斯莱克,88.5,8.0
002388,新亚制程,86.0,14.5
300472,新元科技,109.0,11.0
002147,新光圆成,121.0,15.0
300519,新光药业,241.5,25.0
002376,新北洋,228.5,23.0
002264,新华都,69.0,8.0
002001,新和成,145.5,12.0
300130,新国都,317.875,22.0
300259,新天科技,167.6875,17.0
300013,新宁物流,315.75,41.5
002836,新宏泽,135.0,8.0
300037,新宙邦,153.39999999999998,24.25
002705,新宝股份,188.75,10.0
300248,新开普,249.25,16.0
300109,新开源,171.5,31.5
300336,新文化,52.0,2.0
002527,新时达,1000.0,148.75
300502,新易盛,175.0,11.5
300542,新晨科技,207.25,23.0
002328,新朋股份,262.0,23.0
002089,新海宜,83.0,12.0
002532,新界泵业,272.45,44.0
002700,新疆浩源,88.5,11.0
300159,新研股份,126.0,17.5
002480,新筑股份,133.5,13.0
002341,新纶科技,604.0,78.0
300509,新美星,449.5625,71.0
300260,新莱应材,224.75,21.0
002087,新野纺织,107.25,5.0
300593,新雷能,204.25,30.0
002196,方正电机,175.0,14.0
300235,方直科技,139.375,11.0
002593,日上集团,124.0,16.0
002520,日发精机,114.75,11.0
603218,日月股份,164.5,26.0
300470,日机密封,317.625,82.5
002313,日海通讯,98.25,19.0
600017,日照港,492.75,70.95
300214,日科化学,206.5,39.7
002516,旷达科技,205.25,18.5
300418,昆仑万维,185.5,32.0
002752,昇兴股份,66.0,14.0
300503,昊志机电,120.5,25.0
300151,昌红科技,216.0,13.0
300242,明家联合,138.0,17.0
002574,明牌珠宝,141.0,24.599999999999998
300125,易世达,119.0,27.5
300376,易事特,258.75,22.7
300212,易华录,257.0,27.0
002826,易明医药,331.75,63.0
300096,易联众,629.21875,64.0
300464,星徽精密,75.5,6.0
300256,星星科技,145.0,12.0
002291,星期六,259.5,21.25
300143,星河生物,109.75,18.0
300568,星源材质,223.5,23.0
002829,星网宇达,219.75,23.0
002396,星网锐捷,66.5,11.0
300043,星辉娱乐,300.95,21.0
002547,春兴精工,152.25,19.0
300139,晓程科技,174.375,18.0
300138,晨光生物,157.0,30.75
300610,晨化股份,425.75,32.75
300581,晨曦航空,124.75,16.0
300442,普丽盛,114.0,21.25
002324,普利特,126.375,9.0
002769,普路通,178.0,26.5
002663,普邦园林,140.375,13.0
002067,景兴纸业,254.975,57.75
300474,景嘉微,126.0,17.0
300316,晶盛机电,355.5,25.0
300097,智云股份,202.0,17.0
002169,智光电气,363.75,54.25
300173,智慧松德,142.625,41.5
300122,智飞生物,177.0,11.75
300431,暴风集团,312.25,59.75
002612,朗姿股份,160.0,23.0
300175,朗源股份,91.0,12.5
300288,朗玛信息,128.5,19.0
300543,朗科智能,558.7,78.0
300042,朗科科技,175.625,22.0
002745,木林森,63.5,10.425
002581,未名医药,329.25,36.0
300024,机器人,192.375,25.625
300478,杭州高新,239.0,26.5
002430,杭氧股份,145.5,21.5
002534,杭锅股份,103.65,32.2
002353,杰瑞股份,91.5,19.0
002544,杰赛科技,264.875,32.5
002454,松芝股份,169.25,24.7
002535,林州重机,92.5,13.0
002776,柏堡龙,418.75,39.2
002346,柘中股份,101.75,8.75
002082,栋梁新材,99.125,25.0
002340,格林美,498.9,108.25
002820,桂发祥,297.375,28.0
002275,桂林三金,199.0,26.0
300275,梅安森,74.75,7.25
300038,梅泰诺,268.0,35.5
002397,梦洁股份,134.75,24.0
002123,梦网荣信,170.5,29.5
002634,棒杰股份,809.75,139.75
002431,棕榈股份,169.9,17.5
002358,森源电气,507.2,57.0
300210,森远股份,144.25,18.0
002563,森马服饰,114.0,17.25
300358,楚天科技,124.5,18.0
002171,楚江新材,272.25,32.0
002474,榕基软件,146.0,12.0
002056,横店东磁,483.55,47.5
300539,横河模具,156.125,9.0
300615,欣天科技,277.125,33.0
300207,欣旺达,157.0,14.0
300372,欣泰电气,129.95,55.5
300595,欧普康视,70.0,25.0
300053,欧比特,184.25,17.0
002711,欧浦智网,436.5625,46.4
002456,欧菲光,321.75,52.375
002241,歌尔股份,245.875,40.6
300410,正业科技,270.65,28.0
300224,正海磁材,150.5,25.25
002157,正邦科技,131.5,15.0
002569,步森股份,120.0,11.0
002251,步步高,203.5,37.0
002194,武汉凡谷,400.5,64.0
002420,毅昌股份,74.5,5.0
002594,比亚迪,243.5,28.0
002832,比音勒芬,66.5,6.0
002234,民和股份,79.0,31.5
002647,民盛金科,176.375,13.0
002273,水晶光电,185.0,23.0
002753,永东股份,112.25,16.0
002756,永兴特钢,185.0,23.5
